"filename", "language", "JavaScript", "SCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"e:\Go IT\React\Art-of-War\src\components\Orders\Orders.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 3, 18
"e:\Go IT\React\Art-of-War\src\components\Orders\Orders.module.scss", "SCSS", 0, 38, 0, 0, 0, 5, 43
"e:\Go IT\React\Art-of-War\src\components\Pagination\Pagination.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 6, 56
"e:\Go IT\React\Art-of-War\src\components\Pagination\Pagination.module.scss", "SCSS", 0, 40, 0, 0, 0, 6, 46
"e:\Go IT\React\Art-of-War\src\components\Pagination\PaginationContainer.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 3, 8
"e:\Go IT\React\Art-of-War\src\components\Pagination\PaginationContainer.module.scss", "SCSS", 0, 11, 0, 0, 0, 3, 14
"e:\Go IT\React\Art-of-War\src\components\Pagination\PaginationHooks.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 8, 34
"e:\Go IT\React\Art-of-War\src\components\ScrollToUp\ScrollToTopStyle.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"e:\Go IT\React\Art-of-War\src\components\ScrollToUp\ScrollWrapper.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 3, 12
"e:\Go IT\React\Art-of-War\src\components\ScrollToUp\ScrollWrapper.module.scss", "SCSS", 0, 19, 0, 0, 0, 3, 22
"e:\Go IT\React\Art-of-War\src\components\SharedLayout\SharedLayout.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 5, 28
"e:\Go IT\React\Art-of-War\src\components\SharedLayout\SharedLayout.module.scss", "SCSS", 0, 9, 0, 0, 0, 3, 12
"e:\Go IT\React\Art-of-War\src\components\Skirmish\Skirmish.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 7, 37
"e:\Go IT\React\Art-of-War\src\components\SvgIcon\SvgIcon.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 5, 20
"e:\Go IT\React\Art-of-War\src\components\Title\Title.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 5, 16
"e:\Go IT\React\Art-of-War\src\components\Title\Title.module.scss", "SCSS", 0, 9, 0, 0, 0, 3, 12
"e:\Go IT\React\Art-of-War\src\components\Tournament\Tournament.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 7, 40
"e:\Go IT\React\Art-of-War\src\components\UnitModal\UnitModal.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 7, 36
"e:\Go IT\React\Art-of-War\src\components\UnitModal\UnitModal.module.scss", "SCSS", 0, 76, 0, 0, 0, 12, 88
"e:\Go IT\React\Art-of-War\src\components\UnitStats\UnitStats.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 3, 68
"e:\Go IT\React\Art-of-War\src\components\UnitStats\UnitStats.module.scss", "SCSS", 0, 30, 0, 0, 0, 5, 35
"e:\Go IT\React\Art-of-War\src\components\UnitWeaponsStats\UnitWeaponsStats.jsx", "JavaScript JSX", 0, 0, 121, 0, 0, 7, 128
"e:\Go IT\React\Art-of-War\src\components\UnitWeaponsStats\UnitWeaponsStats.module.scss", "SCSS", 0, 36, 0, 0, 0, 5, 41
"e:\Go IT\React\Art-of-War\src\components\UnitWeapons\UnitWeapons.jsx", "JavaScript JSX", 0, 0, 45, 0, 0, 7, 52
"e:\Go IT\React\Art-of-War\src\components\UnitWeapons\UnitWeapons.module.scss", "SCSS", 0, 52, 0, 0, 0, 6, 58
"e:\Go IT\React\Art-of-War\src\components\Unit\UnitDetails.jsx", "JavaScript JSX", 0, 0, 63, 0, 0, 12, 75
"e:\Go IT\React\Art-of-War\src\components\Unit\UnitDetails.module.scss", "SCSS", 0, 89, 0, 0, 0, 16, 105
"e:\Go IT\React\Art-of-War\src\components\UnitsGallery\UnitsGallery.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 9, 65
"e:\Go IT\React\Art-of-War\src\components\UnitsGallery\UnitsGallery.module.scss", "SCSS", 0, 53, 0, 0, 0, 6, 59
"e:\Go IT\React\Art-of-War\src\components\YoutubeTrailer\YoutubeTrailer.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 7, 38
"e:\Go IT\React\Art-of-War\src\data\avatars\confederation.js", "JavaScript", 36, 0, 0, 0, 0, 1, 37
"e:\Go IT\React\Art-of-War\src\data\avatars\other.js", "JavaScript", 11, 0, 0, 0, 0, 1, 12
"e:\Go IT\React\Art-of-War\src\data\avatars\resistance.js", "JavaScript", 36, 0, 0, 0, 0, 1, 37
"e:\Go IT\React\Art-of-War\src\data\blitz.js", "JavaScript", 148, 0, 0, 0, 0, 1, 149
"e:\Go IT\React\Art-of-War\src\data\buildings\confederationBuildings.js", "JavaScript", 9561, 0, 0, 0, 292, 2, 9855
"e:\Go IT\React\Art-of-War\src\data\buildings\resistanceBuildings.js", "JavaScript", 8975, 0, 0, 0, 275, 3, 9253
"e:\Go IT\React\Art-of-War\src\data\heroes\confHeroes.js", "JavaScript", 1532, 0, 0, 0, 50, 3, 1585
"e:\Go IT\React\Art-of-War\src\data\heroes\resistHeroes.js", "JavaScript", 1379, 0, 0, 0, 50, 2, 1431
"e:\Go IT\React\Art-of-War\src\data\leagues.js", "JavaScript", 32, 0, 0, 0, 0, 1, 33
"e:\Go IT\React\Art-of-War\src\data\maps\autumn.js", "JavaScript", 32, 0, 0, 0, 0, 1, 33
"e:\Go IT\React\Art-of-War\src\data\maps\desert.js", "JavaScript", 132, 0, 0, 0, 0, 1, 133
"e:\Go IT\React\Art-of-War\src\data\maps\jungle.js", "JavaScript", 192, 0, 0, 0, 0, 1, 193
"e:\Go IT\React\Art-of-War\src\data\maps\midland.js", "JavaScript", 92, 0, 0, 0, 0, 1, 93
"e:\Go IT\React\Art-of-War\src\data\maps\winter.js", "JavaScript", 92, 0, 0, 0, 0, 1, 93
"e:\Go IT\React\Art-of-War\src\data\orders.js", "JavaScript", 16, 0, 0, 0, 0, 2, 18
"e:\Go IT\React\Art-of-War\src\data\skirmish.js", "JavaScript", 72, 0, 0, 0, 0, 2, 74
"e:\Go IT\React\Art-of-War\src\data\skirmish\ai.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments.js", "JavaScript", 210, 0, 0, 0, 26, 3, 239
"e:\Go IT\React\Art-of-War\src\data\tournaments\allTheFront.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\assault.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\battleRoyale.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\behindTheWall.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\corsairs.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\crossfire.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\emergencyCall.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\fifthAnniversary.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\flightRecorder.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\gameBirthday.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\joker.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\judgmentDay.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\largeReserves.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\nautilus.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\newYearsAlarm.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\niceLoot.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\onlyByChance.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\pumpkinMadness.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\reliablePartner.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\totalControl.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\twoCitadels.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\tournaments\vanguard.js", "JavaScript", 32, 0, 0, 0, 0, 7, 39
"e:\Go IT\React\Art-of-War\src\data\units\confederationUnits.js", "JavaScript", 6261, 0, 0, 0, 256, 3, 6520
"e:\Go IT\React\Art-of-War\src\data\units\resistanceUnits.js", "JavaScript", 6526, 0, 0, 0, 241, 3, 6770
"e:\Go IT\React\Art-of-War\src\images\sprite.svg", "XML", 0, 0, 0, 14, 3, 7, 24
"e:\Go IT\React\Art-of-War\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 3, 15
"e:\Go IT\React\Art-of-War\src\pages\AvatarsPage\AvatarsPage.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 5, 25
"e:\Go IT\React\Art-of-War\src\pages\AvatarsPage\ConfAvatarsPage\ConfAvatarsPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 13
"e:\Go IT\React\Art-of-War\src\pages\AvatarsPage\OtherAvatarsPage\OtherAvatarsPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 13
"e:\Go IT\React\Art-of-War\src\pages\AvatarsPage\ResistAvatarsPage\ResistAvatarsPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 13
"e:\Go IT\React\Art-of-War\src\pages\BuildingsPage\BuildingsPage.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 5, 20
"e:\Go IT\React\Art-of-War\src\pages\BuildingsPage\ConfBuildingsPage\ConfBuildingsPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 13
"e:\Go IT\React\Art-of-War\src\pages\BuildingsPage\ResistBuildingsPage\ResistBuildingsPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 13
"e:\Go IT\React\Art-of-War\src\pages\HeroesPage\BlueprintsPage\BlueprintsPage.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 3, 12
"e:\Go IT\React\Art-of-War\src\pages\HeroesPage\ConfHeroesPage\ConfHeroesPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 13
"e:\Go IT\React\Art-of-War\src\pages\HeroesPage\HeroesPage.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 4, 24
"e:\Go IT\React\Art-of-War\src\pages\HeroesPage\ResistHeroesPage\ResistHeroesPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 13
"e:\Go IT\React\Art-of-War\src\pages\MapsPage\AutumnPage\AutumnPage.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 6, 28
"e:\Go IT\React\Art-of-War\src\pages\MapsPage\DesertPage\DesertPage.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 4, 26
"e:\Go IT\React\Art-of-War\src\pages\MapsPage\JunglePage\JunglePage.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 6, 28
"e:\Go IT\React\Art-of-War\src\pages\MapsPage\MapsPage.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 4, 28
"e:\Go IT\React\Art-of-War\src\pages\MapsPage\MidlandPage\MidlandPage.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 7, 29
"e:\Go IT\React\Art-of-War\src\pages\MapsPage\WinterPage\WinterPage.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 7, 29
"e:\Go IT\React\Art-of-War\src\pages\MedalsPage\BlitzTournamentPage\BlitzTournamentPage.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 3, 12
"e:\Go IT\React\Art-of-War\src\pages\MedalsPage\LeaguesPage\LeaguesPage.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 3, 12
"e:\Go IT\React\Art-of-War\src\pages\MedalsPage\MedalsPage.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 5, 29
"e:\Go IT\React\Art-of-War\src\pages\MedalsPage\OrdersPage\OrdersPage.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 3, 12
"e:\Go IT\React\Art-of-War\src\pages\MedalsPage\SkirmishPage\SkirmishPage.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 3, 12
"e:\Go IT\React\Art-of-War\src\pages\MedalsPage\TournamentPage\TournamentPage.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 3, 12
"e:\Go IT\React\Art-of-War\src\pages\MedalsPage\TournamentPage\TournamentPage.module.scss", "SCSS", 0, 0, 0, 0, 6, 2, 8
"e:\Go IT\React\Art-of-War\src\pages\NotFoundPage\NotFoundPage.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 2, 15
"e:\Go IT\React\Art-of-War\src\pages\UnitsPage\ConfUnitsPage\ConfUnitsPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 13
"e:\Go IT\React\Art-of-War\src\pages\UnitsPage\ResistUnitsPage\ResistUnitsPage.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 3, 13
